campaign_id,campaign_name,campaign_date,channel,campaign_cost,impressions,clicks,leads,conversions,customers_acquired,revenue_generated
CAMP-00001,Email Campaigns Campaign 2023-01-01,2023-01-01,Email Campaigns,2265.6,48768,1416,212,62,52,104059.14
CAMP-00002,Google Ads Campaign 2023-01-01,2023-01-01,Google Ads,3068.41,57416,2610,393,111,84,335366.15
CAMP-00003,Email Campaigns Campaign 2023-01-02,2023-01-02,Email Campaigns,376.77,88447,4033,520,157,97,214405.7
CAMP-00004,Events & Webinars Campaign 2023-01-02,2023-01-02,Events & Webinars,329.38,24867,1629,167,34,21,18337.24
CAMP-00005,Partner Referrals Campaign 2023-01-02,2023-01-02,Partner Referrals,685.72,73828,2291,142,17,16,37717.67
CAMP-00006,LinkedIn Ads Campaign 2023-01-02,2023-01-02,LinkedIn Ads,2469.31,21927,543,32,7,6,20932.92
CAMP-00007,Events & Webinars Campaign 2023-01-03,2023-01-03,Events & Webinars,1361.18,82747,3451,624,91,71,184439.39
CAMP-00008,Google Ads Campaign 2023-01-03,2023-01-03,Google Ads,2238.77,38341,2409,195,69,56,205760.33
CAMP-00009,Partner Referrals Campaign 2023-01-04,2023-01-04,Partner Referrals,2274.75,27853,1682,127,12,7,15306.81
CAMP-00010,Google Ads Campaign 2023-01-04,2023-01-04,Google Ads,3290.7,31343,1709,178,27,21,19165.11
CAMP-00011,LinkedIn Ads Campaign 2023-01-05,2023-01-05,LinkedIn Ads,1548.02,49931,3556,694,126,117,291699.15
CAMP-00012,Events & Webinars Campaign 2023-01-05,2023-01-05,Events & Webinars,430.61,16372,383,39,5,3,7565.08
CAMP-00013,Email Campaigns Campaign 2023-01-05,2023-01-05,Email Campaigns,1902.24,23606,1799,193,34,29,67282.73
CAMP-00014,Google Ads Campaign 2023-01-06,2023-01-06,Google Ads,1677.93,28923,2070,394,109,89,201953.06
CAMP-00015,Partner Referrals Campaign 2023-01-06,2023-01-06,Partner Referrals,2283.96,67153,2028,124,17,14,45097.36
CAMP-00016,SEO Content Campaign 2023-01-06,2023-01-06,SEO Content,860.53,63492,2245,279,70,68,243138.15
CAMP-00017,Events & Webinars Campaign 2023-01-06,2023-01-06,Events & Webinars,2291.44,56056,2007,171,51,35,31139.98
CAMP-00018,Partner Referrals Campaign 2023-01-07,2023-01-07,Partner Referrals,2472.05,39634,2962,250,62,51,210020.08
CAMP-00019,SEO Content Campaign 2023-01-07,2023-01-07,SEO Content,2616.74,99785,2783,466,111,94,214258.34
CAMP-00020,LinkedIn Ads Campaign 2023-01-08,2023-01-08,LinkedIn Ads,454.98,57988,1604,268,53,34,87687.97
CAMP-00021,Google Ads Campaign 2023-01-08,2023-01-08,Google Ads,2086.9,24914,1663,284,40,33,46640.79
CAMP-00022,Partner Referrals Campaign 2023-01-08,2023-01-08,Partner Referrals,2234.81,15821,1161,172,64,58,56210.28
CAMP-00023,Events & Webinars Campaign 2023-01-08,2023-01-08,Events & Webinars,3181.04,85409,3433,474,76,48,116977.12
CAMP-00024,LinkedIn Ads Campaign 2023-01-09,2023-01-09,LinkedIn Ads,986.19,57794,2159,263,76,74,138683.15
CAMP-00025,Events & Webinars Campaign 2023-01-09,2023-01-09,Events & Webinars,689.47,75603,4665,675,188,113,418259.47
CAMP-00026,SEO Content Campaign 2023-01-10,2023-01-10,SEO Content,1596.37,26624,1222,205,22,21,36511.99
CAMP-00027,Events & Webinars Campaign 2023-01-10,2023-01-10,Events & Webinars,1641.74,21883,1389,111,20,19,83597.63
CAMP-00028,Partner Referrals Campaign 2023-01-10,2023-01-10,Partner Referrals,510.93,88609,3208,393,49,33,124339.44
CAMP-00029,Email Campaigns Campaign 2023-01-10,2023-01-10,Email Campaigns,2840.44,29747,703,120,31,29,37104.44
CAMP-00030,SEO Content Campaign 2023-01-11,2023-01-11,SEO Content,983.98,73342,2456,414,157,131,408416.23
CAMP-00031,Email Campaigns Campaign 2023-01-11,2023-01-11,Email Campaigns,2943.01,59273,1374,202,21,20,39457.39
CAMP-00032,Events & Webinars Campaign 2023-01-11,2023-01-11,Events & Webinars,584.67,93210,6288,752,78,60,78095.6
CAMP-00033,LinkedIn Ads Campaign 2023-01-11,2023-01-11,LinkedIn Ads,1800.52,87504,2292,200,73,68,57389.33
CAMP-00034,LinkedIn Ads Campaign 2023-01-12,2023-01-12,LinkedIn Ads,1163.35,15750,968,156,52,46,37035.62
CAMP-00035,Partner Referrals Campaign 2023-01-12,2023-01-12,Partner Referrals,2363.16,21747,1052,166,46,44,181729.62
CAMP-00036,Google Ads Campaign 2023-01-12,2023-01-12,Google Ads,688.83,49843,3408,252,80,63,62722.53
CAMP-00037,Events & Webinars Campaign 2023-01-13,2023-01-13,Events & Webinars,1547.41,28029,1605,98,17,13,36613.69
CAMP-00038,Partner Referrals Campaign 2023-01-13,2023-01-13,Partner Referrals,727.88,23411,561,76,13,10,32123.86
CAMP-00039,Google Ads Campaign 2023-01-13,2023-01-13,Google Ads,1670.37,29084,880,115,12,11,14879.01
CAMP-00040,Partner Referrals Campaign 2023-01-14,2023-01-14,Partner Referrals,1319.72,35038,2705,503,59,38,36168.99
CAMP-00041,Events & Webinars Campaign 2023-01-14,2023-01-14,Events & Webinars,3288.21,32280,1562,188,71,63,105859.64
