order_id,order_date,customer_id,customer_segment,product_id,product_category,employee_id,region_id,quantity,unit_price,unit_cost,discount_pct,gross_revenue,revenue,cogs,profit,profit_margin
ORD-000885,2023-01-01,CUST-1030,Mid-Market,PROD-109,Consulting Services,EMP-063,REG-01,5,140000.0,60000.0,0.1,700000.0,630000.0,300000.0,330000.0,52.38
ORD-000892,2023-01-01,CUST-0700,SMB,PROD-108,Enterprise Software,EMP-049,REG-02,1,180000.0,85000.0,0.08,180000.0,165600.0,85000.0,80600.0,48.67
ORD-001923,2023-01-01,CUST-0555,Startup,PROD-114,Enterprise Software,EMP-134,REG-05,1,38138.57,22674.59,0.1,38138.57,34324.71,22674.59,11650.12,33.94
ORD-002735,2023-01-01,CUST-0694,Startup,PROD-118,Consulting Services,EMP-032,REG-01,3,74600.14,38073.59,0.15,223800.42,190230.36,114220.77,76009.59,39.96
ORD-006388,2023-01-01,CUST-0248,Mid-Market,PROD-106,SaaS Subscriptions,EMP-032,REG-01,1,22000.0,8000.0,0.05,22000.0,20900.0,8000.0,12900.0,61.72
ORD-006826,2023-01-01,CUST-0275,Mid-Market,PROD-110,Consulting Services,EMP-063,REG-04,4,210000.0,90000.0,0.0,840000.0,840000.0,360000.0,480000.0,57.14
ORD-007182,2023-01-01,CUST-1194,Government,PROD-113,Cloud Infrastructure,EMP-001,REG-01,6,29803.96,16375.59,0.2,178823.76,143059.01,98253.54,44805.47,31.32
ORD-007259,2023-01-01,CUST-0334,Government,PROD-121,Enterprise Software,EMP-001,REG-02,5,59342.74,26842.26,0.05,296713.7,281878.01,134211.3,147666.71,52.39
ORD-008254,2023-01-01,CUST-0890,Enterprise,PROD-110,Consulting Services,EMP-001,REG-02,2,210000.0,90000.0,0.15,420000.0,357000.0,180000.0,177000.0,49.58
ORD-000252,2023-01-02,CUST-1034,SMB,PROD-116,Cloud Infrastructure,EMP-033,REG-02,1,35996.28,20153.24,0.0,35996.28,35996.28,20153.24,15843.04,44.01
ORD-001333,2023-01-02,CUST-0088,Startup,PROD-106,SaaS Subscriptions,EMP-119,REG-03,3,22000.0,8000.0,0.15,66000.0,56100.0,24000.0,32100.0,57.22
ORD-002420,2023-01-02,CUST-0159,Startup,PROD-111,Cloud Infrastructure,EMP-033,REG-02,2,68000.0,32000.0,0.1,136000.0,122400.0,64000.0,58400.0,47.71
ORD-002513,2023-01-02,CUST-0950,Government,PROD-119,Hardware Workstations,EMP-096,REG-01,5,95539.33,59518.68,0.05,477696.65,453811.82,297593.4,156218.42,34.42
ORD-004466,2023-01-02,CUST-0684,Government,PROD-118,Consulting Services,EMP-134,REG-05,2,74600.14,38073.59,0.1,149200.28,134280.25,76147.18,58133.07,43.29
ORD-004964,2023-01-02,CUST-0803,Government,PROD-112,Enterprise Software,EMP-049,REG-05,2,110000.0,48000.0,0.2,220000.0,176000.0,96000.0,80000.0,45.45
ORD-005092,2023-01-02,CUST-0897,Enterprise,PROD-105,Hardware Workstations,EMP-033,REG-03,8,75000.0,40000.0,0.15,600000.0,510000.0,320000.0,190000.0,37.25
ORD-005491,2023-01-02,CUST-0840,SMB,PROD-120,Enterprise Software,EMP-119,REG-01,2,99971.14,53397.67,0.08,199942.28,183946.9,106795.34,77151.56,41.94
ORD-007487,2023-01-02,CUST-0232,Startup,PROD-108,Enterprise Software,EMP-058,REG-04,3,180000.0,85000.0,0.1,540000.0,486000.0,255000.0,231000.0,47.53
ORD-000481,2023-01-03,CUST-0235,Startup,PROD-119,Hardware Workstations,EMP-119,REG-03,1,95539.33,59518.68,0.2,95539.33,76431.46,59518.68,16912.78,22.13
ORD-000506,2023-01-03,CUST-0986,SMB,PROD-106,SaaS Subscriptions,EMP-058,REG-02,1,22000.0,8000.0,0.2,22000.0,17600.0,8000.0,9600.0,54.55
ORD-001930,2023-01-03,CUST-0706,Enterprise,PROD-118,Consulting Services,EMP-117,REG-03,12,74600.14,38073.59,0.0,895201.68,895201.68,456883.08,438318.6,48.96
ORD-002603,2023-01-03,CUST-0906,SMB,PROD-112,Enterprise Software,EMP-096,REG-05,3,110000.0,48000.0,0.2,330000.0,264000.0,144000.0,120000.0,45.45
