customer_id,customer_name,customer_segment,region,acquisition_date,purchase_frequency,average_order_value,lifetime_value,retention_status
CUST-00001,Apex Global 1,Government,REG-03,2023-06-16,13.0,1849.91,43625.76,Active
CUST-00002,Starlight Media 2,Startup,REG-02,2024-06-30,15.1,1071.91,33549.16,Active
CUST-00003,Omni Digital 3,Mid-Market,REG-03,2025-05-13,31.7,1391.57,136314.9,Active
CUST-00004,Quantum Labs 4,SMB,REG-01,2023-08-05,18.4,2485.13,130375.22,Active
CUST-00005,Innovate X 5,Government,REG-04,2023-05-27,10.2,2044.79,51957.49,Active
CUST-00006,TechCorp 6,Government,REG-05,2024-02-13,12.8,5985.96,116322.09,Active
CUST-00007,Innovate X 7,Enterprise,REG-02,2024-10-04,14.6,8645.05,324599.28,Active
CUST-00008,Starlight Media 8,Government,REG-05,2023-09-15,29.2,5269.09,188691.73,Active
CUST-00009,Nexus Dynamic 9,SMB,REG-03,2023-04-25,7.3,1053.55,9286.5,Active
CUST-00010,Innovate X 10,Startup,REG-02,2024-06-03,18.4,3546.81,123110.43,Active
CUST-00011,TechCorp 11,Mid-Market,REG-02,2024-01-18,31.5,4775.65,449921.09,Active
CUST-00012,Nexus Dynamic 12,Startup,REG-03,2024-05-15,2.4,3751.85,29003.84,Active
CUST-00013,Apex Global 13,Mid-Market,REG-01,2023-09-04,35.6,7628.65,379397.97,Active
CUST-00014,Innovate X 14,Startup,REG-02,2023-05-12,13.9,3813.97,83751.38,Active
CUST-00015,Horizon Inc 15,Government,REG-02,2025-08-09,17.6,4582.14,134085.31,Active
CUST-00016,Vanguard Solutions 16,Government,REG-05,2024-04-07,6.3,1929.66,24041.36,Active
CUST-00017,Horizon Inc 17,Startup,REG-02,2023-01-08,3.3,2708.86,15434.19,Active
CUST-00018,Innovate X 18,Enterprise,REG-05,2023-09-01,21.0,6596.85,338055.57,Active
CUST-00019,Omni Digital 19,Startup,REG-04,2023-09-06,16.1,3326.24,87715.87,Churned
CUST-00020,Apex Global 20,SMB,REG-04,2024-02-25,10.4,3051.77,87240.58,Active
CUST-00021,Quantum Labs 21,Enterprise,REG-04,2025-01-15,24.3,10547.56,454150.54,Active
CUST-00022,Starlight Media 22,Mid-Market,REG-04,2023-07-07,14.0,2748.65,127892.35,Active
CUST-00023,Vanguard Solutions 23,Enterprise,REG-01,2024-10-29,60.0,10278.29,2114465.07,Active
CUST-00024,TechCorp 24,Mid-Market,REG-04,2024-05-12,21.3,7052.55,492061.18,Active
CUST-00025,Starlight Media 25,Government,REG-03,2025-08-06,24.2,3138.79,165052.01,Active
CUST-00026,Horizon Inc 26,Government,REG-02,2023-07-14,11.0,5835.72,162543.83,Active
CUST-00027,Starlight Media 27,Enterprise,REG-01,2024-08-21,31.7,11153.56,856196.41,Churned
CUST-00028,Innovate X 28,Enterprise,REG-02,2023-03-12,38.1,8589.73,569764.67,Churned
CUST-00029,Horizon Inc 29,Mid-Market,REG-05,2024-08-31,5.4,1573.88,23048.8,Active
CUST-00030,Nexus Dynamic 30,SMB,REG-02,2024-11-16,14.9,1335.4,41989.76,Active
CUST-00031,Apex Global 31,Government,REG-03,2025-08-09,23.3,1130.85,59391.7,Active
CUST-00032,Vanguard Solutions 32,Enterprise,REG-05,2023-08-07,33.3,2890.79,192788.48,Churned
CUST-00033,Starlight Media 33,SMB,REG-03,2023-06-11,9.9,2401.26,45067.6,Active
CUST-00034,Apex Global 34,Enterprise,REG-05,2023-11-03,56.3,2587.66,469061.66,Active
CUST-00035,Nexus Dynamic 35,Startup,REG-02,2023-10-06,7.1,1237.2,17468.32,Active
CUST-00036,Nexus Dynamic 36,Startup,REG-04,2023-09-15,18.3,3461.36,89458.3,Active
CUST-00037,Starlight Media 37,Enterprise,REG-01,2023-12-08,47.6,8189.69,702666.08,Active
CUST-00038,TechCorp 38,Government,REG-05,2023-01-10,6.0,5711.52,95588.4,Churned
CUST-00039,TechCorp 39,SMB,REG-05,2024-07-19,4.7,946.06,8488.31,Active
CUST-00040,Omni Digital 40,SMB,REG-02,2024-11-29,6.5,859.78,16733.67,Active
CUST-00041,Omni Digital 41,Startup,REG-02,2025-08-05,18.7,3526.12,227176.0,Active
CUST-00042,Vanguard Solutions 42,Enterprise,REG-02,2025-01-24,55.9,9715.06,1165942.84,Active
CUST-00043,Vanguard Solutions 43,SMB,REG-02,2025-03-17,14.6,1838.9,34608.78,Active
CUST-00044,Omni Digital 44,Government,REG-03,2023-11-09,25.2,5324.45,229806.72,Active
CUST-00045,Starlight Media 45,SMB,REG-03,2025-06-04,3.2,3206.64,20600.85,Active
CUST-00046,TechCorp 46,SMB,REG-01,2023-04-29,17.8,1414.25,63824.17,Active
CUST-00047,Apex Global 47,Enterprise,REG-05,2024-03-20,24.7,9757.5,531115.72,Active
CUST-00048,Starlight Media 48,Government,REG-05,2023-07-14,9.9,4471.12,53289.09,Active
CUST-00049,Apex Global 49,Mid-Market,REG-03,2024-03-17,6.5,5649.66,71956.84,Active
CUST-00050,Vanguard Solutions 50,SMB,REG-05,2023-11-13,14.0,1641.64,64434.55,Active
CUST-00051,TechCorp 51,Government,REG-04,2024-11-24,23.2,1663.64,96836.25,Active
CUST-00052,Quantum Labs 52,SMB,REG-03,2023-08-04,9.7,2529.95,66402.29,Active
CUST-00053,Nexus Dynamic 53,Mid-Market,REG-05,2024-04-29,32.6,7718.82,727903.17,Active
CUST-00054,Vanguard Solutions 54,Startup,REG-05,2023-12-10,3.7,3832.0,24673.22,Active
CUST-00055,Omni Digital 55,Mid-Market,REG-01,2023-02-17,12.8,4325.95,174665.76,Churned
CUST-00056,TechCorp 56,Startup,REG-02,2025-01-05,14.5,2230.32,56955.42,Active
CUST-00057,Vanguard Solutions 57,Enterprise,REG-04,2023-08-13,15.5,11558.64,428423.23,Churned
CUST-00058,Quantum Labs 58,Enterprise,REG-04,2023-05-17,49.3,8509.57,1456643.73,Active
CUST-00059,Quantum Labs 59,Startup,REG-05,2024-03-12,17.0,2417.55,134127.7,Active
CUST-00060,Vanguard Solutions 60,Government,REG-03,2025-02-08,9.7,4097.72,117708.25,Active
CUST-00061,Apex Global 61,SMB,REG-04,2023-03-21,14.8,1320.73,38555.08,Active
CUST-00062,Horizon Inc 62,Mid-Market,REG-02,2023-08-25,17.8,2069.64,62335.96,Active
CUST-00063,TechCorp 63,Startup,REG-04,2024-03-01,3.1,3415.12,22187.93,Active
CUST-00064,Omni Digital 64,Startup,REG-04,2024-05-03,2.1,1731.16,10662.71,Active
CUST-00065,TechCorp 65,Startup,REG-05,2025-03-30,12.9,1271.89,27969.17,Active
CUST-00066,Synergy Systems 66,Government,REG-03,2024-11-15,21.3,2872.66,96652.2,Active
CUST-00067,Omni Digital 67,Startup,REG-05,2023-01-28,18.3,2571.62,128235.53,Churned
CUST-00068,Omni Digital 68,Mid-Market,REG-04,2023-07-06,5.8,3653.73,35746.44,Active
CUST-00069,Horizon Inc 69,SMB,REG-04,2023-09-16,17.0,2146.07,106631.46,Churned
CUST-00070,TechCorp 70,Mid-Market,REG-01,2025-03-10,38.5,1281.81,62741.66,Active
CUST-00071,Nexus Dynamic 71,Startup,REG-02,2023-09-02,4.3,2843.11,30528.35,Active
CUST-00072,Nexus Dynamic 72,SMB,REG-02,2024-09-12,12.9,3117.74,58857.29,Active
CUST-00073,Vanguard Solutions 73,Enterprise,REG-05,2023-01-27,56.2,7545.87,1394563.25,Active
CUST-00074,Innovate X 74,Enterprise,REG-05,2024-12-08,50.9,4049.92,577925.14,Active
CUST-00075,Horizon Inc 75,Enterprise,REG-05,2025-03-12,8.2,7093.83,158307.99,Churned
CUST-00076,Quantum Labs 76,Enterprise,REG-04,2025-04-22,32.5,6052.0,399877.16,Active
CUST-00077,Starlight Media 77,Mid-Market,REG-04,2023-06-30,30.4,7758.32,429532.88,Active
CUST-00078,Apex Global 78,Government,REG-04,2024-03-22,25.3,3860.49,189607.59,Active
CUST-00079,Quantum Labs 79,SMB,REG-04,2023-09-07,15.5,2494.47,105817.71,Active
CUST-00080,Nexus Dynamic 80,SMB,REG-02,2024-05-14,5.8,3292.41,37863.11,Active
CUST-00081,Vanguard Solutions 81,Startup,REG-01,2024-06-13,19.1,799.65,43623.21,Active
CUST-00082,Nexus Dynamic 82,Government,REG-04,2024-04-03,24.4,1238.53,51666.51,Active
CUST-00083,Horizon Inc 83,Startup,REG-03,2024-04-29,12.0,1703.15,71373.96,Active
CUST-00084,Starlight Media 84,Government,REG-03,2023-11-10,9.8,1383.44,22274.56,Churned
CUST-00085,Innovate X 85,Mid-Market,REG-02,2023-08-10,30.6,2935.5,229600.5,Active
CUST-00086,Starlight Media 86,SMB,REG-01,2025-05-02,5.5,1296.19,11497.12,Churned
CUST-00087,Quantum Labs 87,Mid-Market,REG-03,2023-02-16,39.1,4873.51,534325.53,Churned
CUST-00088,Nexus Dynamic 88,Enterprise,REG-01,2024-08-10,21.4,6526.5,277046.96,Active
CUST-00089,Synergy Systems 89,Government,REG-01,2025-04-21,4.8,3331.67,40414.2,Active
CUST-00090,Innovate X 90,Mid-Market,REG-05,2025-08-29,14.9,7957.43,174580.72,Active
CUST-00091,Innovate X 91,Startup,REG-05,2023-08-20,16.0,1831.32,96387.79,Active
CUST-00092,Vanguard Solutions 92,Government,REG-03,2024-08-05,19.8,3950.56,227013.66,Active
CUST-00093,Omni Digital 93,Mid-Market,REG-03,2024-11-07,6.9,2679.06,45651.5,Active
CUST-00094,Quantum Labs 94,Government,REG-05,2024-04-26,10.9,1965.25,60536.35,Active
CUST-00095,Vanguard Solutions 95,Enterprise,REG-02,2025-08-04,20.3,9808.1,509013.67,Active
CUST-00096,TechCorp 96,Government,REG-01,2024-07-11,9.1,1532.19,25250.01,Churned
CUST-00097,Nexus Dynamic 97,Mid-Market,REG-03,2024-09-01,31.0,4984.45,287991.23,Churned
CUST-00098,Horizon Inc 98,Government,REG-03,2024-05-27,17.6,3048.23,138171.77,Active
CUST-00099,TechCorp 99,Startup,REG-03,2023-01-27,3.6,3866.69,43468.31,Active
CUST-00100,Nexus Dynamic 100,SMB,REG-05,2023-02-11,15.7,1113.17,41832.69,Active
