transaction_id,transaction_date,revenue,operating_expense,marketing_expense,payroll_expense,operating_profit,cash_flow,budget
FIN-00001,2023-01-01,155633.43,39714.4,19402.92,47393.8,49122.31,54237.98,151165.54
FIN-00002,2023-01-02,202110.88,71475.72,21052.79,49620.98,59961.39,68747.99,219941.73
FIN-00003,2023-01-03,276262.02,100703.91,43447.73,95204.21,36906.17,36656.19,273339.78
FIN-00004,2023-01-04,356916.64,132661.26,42094.59,113928.78,68232.01,60030.28,358277.11
FIN-00005,2023-01-05,297477.73,82972.35,44131.66,93065.55,77308.17,77246.33,310055.03
FIN-00006,2023-01-06,250404.38,69196.83,34502.39,65514.49,81190.67,81967.9,240417.09
FIN-00007,2023-01-07,193374.16,76062.16,37191.39,61945.89,18174.72,15640.73,186864.72
FIN-00008,2023-01-08,207993.18,52093.94,32800.56,42202.61,80896.07,71403.97,209985.27
FIN-00009,2023-01-09,284601.93,105937.66,32288.05,94822.67,51553.55,53872.43,306476.93
FIN-00010,2023-01-10,284598.19,74323.35,50575.29,94205.71,65493.84,74192.55,287604.11
FIN-00011,2023-01-11,214333.19,55431.5,22463.11,56967.7,79470.88,76129.07,219879.9
FIN-00012,2023-01-12,226702.51,78438.66,30842.98,52234.62,65186.25,58975.76,221825.38
FIN-00013,2023-01-13,215550.76,79257.74,38815.26,51182.49,46295.27,53092.82,217035.13
FIN-00014,2023-01-14,367371.92,125586.63,54095.05,125580.21,62110.03,59233.15,377167.84
FIN-00015,2023-01-15,199931.31,74620.84,32046.91,44168.58,49094.98,42181.65,216829.81
FIN-00016,2023-01-16,359503.67,101366.57,55750.81,78462.56,123923.73,109956.79,349974.62
FIN-00017,2023-01-17,279820.51,80490.79,42330.17,72155.2,84844.35,92686.69,294232.14
FIN-00018,2023-01-18,219309.68,78582.99,39065.34,75828.61,25832.74,22594.58,236145.8
FIN-00019,2023-01-19,252015.44,93999.81,33173.92,76466.08,48375.63,48732.06,255023.14
FIN-00020,2023-01-20,137493.13,44889.35,21689.12,31374.03,39540.63,34232.7,145169.09
FIN-00021,2023-01-21,333400.53,97486.6,40125.64,99081.66,96706.63,110632.53,354781.38
FIN-00022,2023-01-22,171825.01,52807.14,31962.86,36634.35,50420.66,52630.44,174697.51
FIN-00023,2023-01-23,156373.03,45938.47,29684.2,43949.11,36801.25,39388.6,150631.71
FIN-00024,2023-01-24,158846.39,53858.37,23728.55,54857.53,26401.94,25216.2,158997.3
FIN-00025,2023-01-25,188012.75,54197.34,25072.63,56015.04,52727.74,51744.77,194591.18
FIN-00026,2023-01-26,129723.43,43486.04,19896.35,45393.15,20947.89,19000.11,136570.12
FIN-00027,2023-01-27,240967.28,83029.39,43630.59,68314.87,45992.43,43775.73,247363.1
FIN-00028,2023-01-28,158736.8,52017.89,16734.39,32121.86,57862.66,52988.39,156276.57
FIN-00029,2023-01-29,161725.14,42510.51,16843.07,55680.59,46690.97,53211.07,162038.48
FIN-00030,2023-01-30,164032.56,57713.76,26258.51,34333.59,45726.7,46446.74,161577.48
FIN-00031,2023-01-31,348244.0,116485.21,56013.19,105282.36,70463.24,61119.42,337240.6
FIN-00032,2023-02-01,211088.35,77072.74,42164.5,48897.7,42953.41,44405.45,229390.24
FIN-00033,2023-02-02,208031.32,54508.38,37657.99,46516.73,69348.22,65877.48,220055.16
FIN-00034,2023-02-03,185795.2,59159.02,37044.51,51531.38,38060.29,39408.33,196110.35
FIN-00035,2023-02-04,218729.74,80244.05,23987.46,56582.84,57915.39,54708.92,226279.72
FIN-00036,2023-02-05,132536.78,42128.31,21745.35,33914.05,34749.07,34716.53,136437.2
FIN-00037,2023-02-06,114421.12,34538.45,22864.56,29984.91,27033.2,24136.0,113268.3
FIN-00038,2023-02-07,364564.22,98167.07,55229.39,126315.1,84852.66,95630.87,380693.67
FIN-00039,2023-02-08,106547.87,39146.68,15463.02,35984.25,15953.92,15377.63,102843.29
FIN-00040,2023-02-09,227741.85,59721.16,35679.39,77748.2,54593.1,58877.04,250145.97
FIN-00041,2023-02-10,273918.73,72683.09,46532.06,86676.09,68027.49,73393.65,280881.89
FIN-00042,2023-02-11,206543.7,67945.35,22458.85,67160.77,48978.73,55999.16,197331.47
FIN-00043,2023-02-12,151361.58,51402.49,27276.75,35314.33,37368.01,33960.64,162934.8
FIN-00044,2023-02-13,185756.29,52568.06,29017.42,43259.85,60910.96,58265.54,202533.01
FIN-00045,2023-02-14,137145.17,35858.6,25188.18,43913.74,32184.65,27528.8,133385.59
FIN-00046,2023-02-15,229788.13,59810.1,45004.95,77486.6,47486.48,50899.34,237412.44
FIN-00047,2023-02-16,223688.02,84116.82,42494.55,75220.65,21856.0,20393.5,228405.34
FIN-00048,2023-02-17,357108.69,112682.76,45287.88,74292.16,124845.89,127540.44,388238.37
FIN-00049,2023-02-18,43882.27,11603.68,4851.63,14135.02,13291.94,12935.0,45319.68
FIN-00050,2023-02-19,221040.16,68340.04,23268.74,51158.88,78272.5,66763.73,227832.24
