operation_id,order_id,processing_time,fulfillment_time,delivery_time,inventory_level,inventory_turnover,sla_target,sla_actual,sla_status
OPS-012023,ORD-012023,2.3,6.7,2.8,1844,12.1,5.0,3.2,Met
OPS-009283,ORD-009283,2.5,1.7,4.0,1413,11.42,5.0,4.2,Met
OPS-005022,ORD-005022,3.3,1.1,4.5,298,9.26,5.0,4.7,Met
OPS-005378,ORD-005378,3.6,4.7,6.1,620,4.36,5.0,6.4,Breached
OPS-003919,ORD-003919,2.8,7.8,4.4,1232,13.23,5.0,4.8,Met
OPS-009199,ORD-009199,3.6,2.4,4.1,108,4.36,5.0,4.3,Met
OPS-000790,ORD-000790,3.5,5.7,6.3,1958,7.6,5.0,6.7,Breached
OPS-008774,ORD-008774,3.6,6.7,2.5,1083,6.49,5.0,2.9,Met
OPS-002986,ORD-002986,1.2,6.3,6.5,1795,8.46,5.0,6.8,Breached
OPS-007967,ORD-007967,1.5,1.3,4.9,247,9.9,5.0,5.0,Met
OPS-000388,ORD-000388,1.5,6.3,5.7,468,5.75,5.0,6.0,Breached
OPS-004752,ORD-004752,0.6,2.1,3.2,708,6.83,5.0,3.3,Met
OPS-005657,ORD-005657,2.4,1.8,4.0,439,11.09,5.0,4.2,Met
OPS-004157,ORD-004157,3.0,4.1,2.5,1810,4.96,5.0,2.8,Met
OPS-002253,ORD-002253,1.6,6.9,6.3,934,12.06,5.0,6.7,Breached
OPS-010646,ORD-010646,1.8,6.5,5.4,146,8.33,5.0,5.7,Breached
OPS-010718,ORD-010718,2.6,1.6,2.3,1241,6.57,5.0,2.5,Met
OPS-000553,ORD-000553,1.3,3.0,3.4,1455,4.71,5.0,3.6,Met
OPS-009316,ORD-009316,3.1,4.1,1.7,438,7.1,5.0,2.0,Met
OPS-003140,ORD-003140,1.9,7.3,1.9,1474,6.04,5.0,2.3,Met
OPS-006714,ORD-006714,2.3,5.1,5.1,703,4.52,5.0,5.4,Breached
OPS-006651,ORD-006651,1.4,5.6,3.9,1961,8.81,5.0,4.2,Met
OPS-006579,ORD-006579,1.4,2.2,6.8,214,9.05,5.0,7.0,Breached
OPS-005615,ORD-005615,1.0,5.8,1.6,1396,9.58,5.0,1.9,Met
OPS-007229,ORD-007229,2.5,7.1,4.5,1220,12.89,5.0,4.9,Met
OPS-001579,ORD-001579,1.4,1.9,6.5,926,10.54,5.0,6.6,Breached
OPS-006112,ORD-006112,2.0,6.7,2.1,1247,5.14,5.0,2.5,Met
OPS-002025,ORD-002025,2.3,6.2,3.9,1474,4.76,5.0,4.3,Met
OPS-011337,ORD-011337,0.5,2.1,5.5,263,7.29,5.0,5.6,Breached
OPS-001192,ORD-001192,1.1,7.4,5.4,244,11.92,5.0,5.8,Breached
OPS-007401,ORD-007401,1.3,2.9,4.7,1779,10.37,5.0,4.9,Met
OPS-007574,ORD-007574,1.1,2.8,3.9,1428,10.07,5.0,4.1,Met
OPS-003894,ORD-003894,1.6,1.4,2.5,232,11.96,5.0,2.6,Met
OPS-005919,ORD-005919,1.7,4.2,3.9,162,10.2,5.0,4.1,Met
OPS-004216,ORD-004216,1.7,5.3,4.0,1385,5.15,5.0,4.3,Met
OPS-005870,ORD-005870,1.2,7.5,5.8,1952,10.93,5.0,6.2,Breached
OPS-002742,ORD-002742,2.5,1.7,3.7,757,10.08,5.0,3.9,Met
OPS-012443,ORD-012443,0.8,1.9,2.7,876,7.07,5.0,2.8,Met
OPS-006490,ORD-006490,1.5,1.9,2.6,534,13.3,5.0,2.7,Met
OPS-002577,ORD-002577,3.8,4.4,2.8,931,10.14,5.0,3.1,Met
OPS-007215,ORD-007215,3.3,3.1,3.6,715,9.96,5.0,3.9,Met
OPS-010001,ORD-010001,3.3,5.8,2.9,105,8.54,5.0,3.3,Met
OPS-005255,ORD-005255,1.1,3.2,4.9,950,6.0,5.0,5.1,Breached
OPS-012209,ORD-012209,2.8,1.5,2.6,553,12.39,5.0,2.8,Met
OPS-004736,ORD-004736,2.5,2.3,1.1,318,8.3,5.0,1.3,Met
OPS-004331,ORD-004331,2.2,2.0,3.0,973,7.12,5.0,3.2,Met
OPS-003645,ORD-003645,3.3,7.5,5.4,539,12.91,5.0,5.9,Breached
OPS-006629,ORD-006629,2.4,1.0,3.4,1307,8.5,5.0,3.5,Met
OPS-009587,ORD-009587,1.1,5.8,2.1,1412,4.68,5.0,2.4,Met
OPS-005338,ORD-005338,0.9,4.2,5.5,1675,12.07,5.0,5.7,Breached
OPS-000278,ORD-000278,1.6,7.6,3.9,761,4.64,5.0,4.3,Met
OPS-009243,ORD-009243,0.6,5.8,5.9,635,8.61,5.0,6.2,Breached
OPS-002827,ORD-002827,3.8,3.8,3.0,814,6.77,5.0,3.3,Met
OPS-002788,ORD-002788,3.3,4.1,6.8,1339,10.74,5.0,7.1,Breached
OPS-011713,ORD-011713,3.0,1.1,6.5,228,12.85,5.0,6.7,Breached
OPS-005948,ORD-005948,0.8,4.9,4.1,266,12.37,5.0,4.3,Met
OPS-009062,ORD-009062,2.1,1.2,3.9,494,5.86,5.0,4.0,Met
OPS-002461,ORD-002461,3.8,2.0,3.7,372,11.99,5.0,3.9,Met
OPS-008089,ORD-008089,1.2,1.8,2.7,419,11.38,5.0,2.8,Met
OPS-010691,ORD-010691,3.1,6.0,5.7,1977,6.99,5.0,6.1,Breached
OPS-006372,ORD-006372,2.9,2.3,1.1,1510,7.98,5.0,1.3,Met
OPS-002382,ORD-002382,1.0,2.4,3.6,1638,5.56,5.0,3.7,Met
OPS-011771,ORD-011771,2.9,4.8,6.7,1617,13.95,5.0,7.0,Breached
OPS-003008,ORD-003008,2.2,1.0,5.8,937,13.09,5.0,5.9,Breached
OPS-009863,ORD-009863,3.4,3.6,1.2,433,4.68,5.0,1.5,Met
OPS-004945,ORD-004945,3.0,4.0,4.0,894,4.45,5.0,4.3,Met
OPS-006918,ORD-006918,3.6,6.7,1.5,1543,8.75,5.0,1.9,Met
OPS-001369,ORD-001369,2.7,2.0,3.9,683,9.3,5.0,4.1,Met
OPS-005167,ORD-005167,3.8,5.2,4.2,880,11.44,5.0,4.6,Met
OPS-002617,ORD-002617,2.5,4.9,4.9,1125,12.54,5.0,5.2,Breached
OPS-008647,ORD-008647,1.5,7.7,2.1,862,11.19,5.0,2.5,Met
OPS-004022,ORD-004022,1.5,1.9,6.8,1753,12.16,5.0,6.9,Breached
OPS-005496,ORD-005496,1.8,3.4,3.6,147,9.53,5.0,3.8,Met
OPS-004353,ORD-004353,1.1,6.7,2.4,977,9.69,5.0,2.7,Met
OPS-009651,ORD-009651,2.6,3.6,4.6,768,6.51,5.0,4.9,Met
OPS-000241,ORD-000241,4.0,3.7,5.6,1774,5.94,5.0,5.9,Breached
OPS-003283,ORD-003283,1.0,7.4,3.5,749,9.77,5.0,3.9,Met
OPS-006940,ORD-006940,3.1,3.7,6.5,1514,4.52,5.0,6.8,Breached
OPS-006177,ORD-006177,1.6,7.1,3.6,797,4.45,5.0,4.0,Met
OPS-003810,ORD-003810,1.8,1.3,4.8,1964,4.52,5.0,4.9,Met
OPS-002082,ORD-002082,1.9,1.9,5.5,882,6.29,5.0,5.7,Breached
OPS-011367,ORD-011367,2.8,4.4,5.0,370,6.1,5.0,5.3,Breached
OPS-008963,ORD-008963,1.5,6.8,1.3,136,4.03,5.0,1.6,Met
OPS-009932,ORD-009932,2.9,4.5,5.5,1359,10.54,5.0,5.8,Breached
OPS-005034,ORD-005034,3.8,5.2,1.9,987,9.04,5.0,2.3,Met
OPS-001413,ORD-001413,2.4,6.7,6.0,1750,6.29,5.0,6.4,Breached
OPS-012221,ORD-012221,3.8,5.0,4.4,768,5.65,5.0,4.8,Met
OPS-004464,ORD-004464,3.5,3.7,5.8,621,7.36,5.0,6.1,Breached
OPS-007184,ORD-007184,2.7,7.4,1.5,469,5.82,5.0,1.9,Met
OPS-011298,ORD-011298,1.7,7.0,1.6,1291,10.53,5.0,2.0,Met
OPS-007861,ORD-007861,2.2,4.4,3.6,994,6.67,5.0,3.9,Met
OPS-012294,ORD-012294,3.2,7.2,1.4,663,5.63,5.0,1.8,Met
OPS-007541,ORD-007541,3.6,6.9,5.7,138,10.27,5.0,6.1,Breached
