customer_id,customer_name,segment,region_id,acquisition_date,lifetime_value,credit_score,retention_status,churn_date
CUST-0001,Titan Industries 83,Mid-Market,REG-01,2023-02-16,473694.83,817,Active,
CUST-0002,Vanguard Dynamics 22,Government,REG-03,2024-04-09,376058.0,713,Active,
CUST-0003,Synergy Dynamics 95,SMB,REG-01,2024-09-15,208744.57,756,Active,
CUST-0004,Nexus Labs 58,SMB,REG-05,2023-08-13,221153.56,835,Active,
CUST-0005,Apex Dynamics 14,SMB,REG-04,2023-10-02,66547.15,765,Active,
CUST-0006,Synergy Dynamics 93,Government,REG-04,2025-06-24,501546.42,737,Active,
CUST-0007,Nexus Dynamics 81,Startup,REG-03,2025-02-03,196146.5,849,Active,
CUST-0008,Synergy Dynamics 27,Startup,REG-04,2023-04-04,238945.54,840,Churned,2023-09-22
CUST-0009,Omni Systems 59,Government,REG-05,2024-04-24,328101.46,761,Active,
CUST-0010,Apex Systems 97,Startup,REG-03,2025-02-26,210240.45,648,Active,
CUST-0011,Nexus Labs 10,SMB,REG-05,2025-02-19,94662.97,647,Active,
CUST-0012,Quantum Digital 87,Mid-Market,REG-02,2024-01-18,529380.94,758,Active,
CUST-0013,Paramount Tech 86,SMB,REG-04,2023-01-20,77966.93,712,Active,
CUST-0014,Quantum Dynamics 17,Mid-Market,REG-05,2025-08-27,153316.38,807,Active,
CUST-0015,Vanguard Digital 26,Mid-Market,REG-04,2025-08-27,412391.98,687,Active,
CUST-0016,Titan Holdings 37,Startup,REG-02,2024-12-31,127929.07,791,Active,
CUST-0017,Horizon Digital 67,Enterprise,REG-02,2023-08-19,231022.66,625,Active,
CUST-0018,Starlight Dynamics 10,Enterprise,REG-01,2023-08-23,233975.29,628,Active,
CUST-0019,Vanguard Digital 40,SMB,REG-04,2023-08-08,184808.48,805,Active,
CUST-0020,Titan Labs 41,Government,REG-04,2023-07-14,132446.61,788,Active,
CUST-0021,Omni Holdings 69,Enterprise,REG-01,2023-03-04,527293.62,706,Active,
CUST-0022,Vanguard Dynamics 34,Mid-Market,REG-05,2024-04-04,187100.26,666,Active,
CUST-0023,Starlight Systems 66,Startup,REG-01,2023-02-21,213036.22,758,Active,
CUST-0024,Vanguard Dynamics 31,Government,REG-04,2024-05-07,186186.28,722,Active,
CUST-0025,Nexus Holdings 10,Government,REG-03,2025-08-06,442831.77,736,Active,
CUST-0026,Paramount Labs 29,Mid-Market,REG-03,2023-08-11,642790.15,768,Active,
CUST-0027,Apex Industries 17,Enterprise,REG-05,2024-05-03,614994.09,838,Active,
CUST-0028,Apex Digital 20,Mid-Market,REG-01,2024-09-01,147378.47,840,Active,
CUST-0029,Vanguard Dynamics 84,Startup,REG-01,2024-09-26,70495.85,788,Active,
CUST-0030,Paramount Industries 43,Mid-Market,REG-03,2023-09-02,256087.98,653,Active,
CUST-0031,Quantum Labs 50,Enterprise,REG-01,2024-04-14,718514.35,764,Active,
CUST-0032,Vanguard Digital 37,Startup,REG-03,2023-05-16,283314.84,845,Churned,2023-12-17
CUST-0033,Synergy Enterprises 30,Government,REG-05,2024-12-21,226132.71,826,Active,
CUST-0034,Apex Digital 48,Enterprise,REG-02,2023-09-28,276000.09,647,Active,
CUST-0035,Nexus Enterprises 46,Startup,REG-02,2025-01-04,135720.07,795,Active,
CUST-0036,Quantum Digital 72,SMB,REG-01,2023-04-05,208571.11,832,Active,
CUST-0037,Apex Industries 26,SMB,REG-02,2025-01-29,160458.88,800,Active,
CUST-0038,Apex Systems 19,Mid-Market,REG-05,2023-02-06,569027.26,769,Active,
CUST-0039,Omni Solutions 15,SMB,REG-03,2025-07-09,283272.0,840,Churned,2026-04-08
CUST-0040,Starlight Dynamics 95,Enterprise,REG-03,2025-03-09,664898.08,843,Active,
CUST-0041,Titan Solutions 40,Mid-Market,REG-02,2025-06-21,336761.93,665,Active,
CUST-0042,Synergy Holdings 95,Mid-Market,REG-03,2023-06-13,543055.98,647,Active,
CUST-0043,Apex Labs 38,Mid-Market,REG-04,2023-12-25,277854.98,823,Active,
CUST-0044,Starlight Tech 94,Mid-Market,REG-04,2023-12-03,263231.68,637,Active,
CUST-0045,Quantum Industries 92,Startup,REG-04,2024-11-26,295287.42,757,Active,
CUST-0046,Apex Systems 43,Mid-Market,REG-05,2025-09-12,650952.82,629,Churned,2026-07-21
CUST-0047,Synergy Industries 65,Startup,REG-05,2023-04-29,146298.86,767,Active,
CUST-0048,Apex Holdings 10,Startup,REG-05,2024-12-04,229857.5,809,Active,
CUST-0049,Starlight Industries 65,Enterprise,REG-03,2024-09-30,449676.19,837,Active,
CUST-0050,Quantum Digital 49,Government,REG-03,2024-02-17,403743.79,761,Active,
CUST-0051,Omni Holdings 96,Mid-Market,REG-05,2024-08-05,275522.43,760,Active,
CUST-0052,Quantum Enterprises 36,Government,REG-05,2024-09-13,384617.53,739,Active,
CUST-0053,Starlight Digital 70,Mid-Market,REG-01,2023-10-18,393498.61,782,Active,
CUST-0054,Vanguard Dynamics 96,SMB,REG-02,2025-04-05,99782.48,626,Churned,2026-03-04
CUST-0055,Titan Systems 68,Government,REG-05,2023-07-19,413255.66,718,Active,
CUST-0056,Starlight Solutions 93,Enterprise,REG-01,2025-03-08,547002.92,665,Active,
CUST-0057,Paramount Labs 16,Startup,REG-02,2025-07-28,262084.09,736,Active,
