record_id,transaction_date,month,revenue,cogs,gross_profit,operating_expense,rnd_expense,marketing_expense,general_admin_expense,operating_profit,tax_provision,net_income,cash_flow
FIN-2023-01,2023-01-28,2023-01,59651841.63,31880006.9,27771834.73,25544193.73,9024037.78,10771358.97,5748796.98,2227641.0,490081.02,1737559.98,1822869.89
FIN-2023-02,2023-02-28,2023-02,57966322.43,31358326.26,26607996.17,20703181.06,7649342.86,8121817.05,4932021.15,5904815.11,1299059.32,4605755.79,4555671.33
FIN-2023-03,2023-03-28,2023-03,55223555.14,28958078.72,26265476.42,20666071.28,7497030.68,8940160.05,4228880.55,5599405.14,1231869.13,4367536.01,5198773.68
FIN-2023-04,2023-04-28,2023-04,62192756.63,33287729.07,28905027.56,25851729.14,8620642.38,11220493.13,6010593.63,3053298.42,671725.65,2381572.77,2401263.67
FIN-2023-05,2023-05-28,2023-05,52510795.17,28638389.79,23872405.38,19962157.5,7454878.4,8529327.91,3977951.19,3910247.88,860254.53,3049993.35,3049060.01
FIN-2023-06,2023-06-28,2023-06,61443413.81,32610211.32,28833202.49,23008128.2,8295849.01,9105087.68,5607191.51,5825074.29,1281516.34,4543557.95,4533405.84
FIN-2023-07,2023-07-28,2023-07,61107067.27,32756678.41,28350388.86,23284003.36,7639701.54,9944932.54,5699369.28,5066385.5,1114604.81,3951780.69,3792656.09
FIN-2023-08,2023-08-28,2023-08,51595975.97,27792350.32,23803625.65,21131493.28,6649996.76,9606359.58,4875136.94,2672132.37,587869.12,2084263.25,2013101.1
FIN-2023-09,2023-09-28,2023-09,52387850.7,28173281.49,24214569.21,19480536.57,6302812.35,8056415.78,5121308.44,4734032.64,1041487.18,3692545.46,3330993.6
FIN-2023-10,2023-10-28,2023-10,56204323.69,30644895.2,25559428.49,20721314.7,7496477.23,8050877.2,5173960.27,4838113.79,1064385.03,3773728.76,3736970.43
FIN-2023-11,2023-11-28,2023-11,57886168.61,30864785.83,27021382.78,23444253.37,8170389.73,10892963.36,4380900.28,3577129.41,786968.47,2790160.94,3285871.18
FIN-2023-12,2023-12-28,2023-12,60683580.73,32465692.66,28217888.07,22629801.67,8004633.22,9584402.03,5040766.42,5588086.4,1229379.01,4358707.39,4358665.95
FIN-2024-01,2024-01-28,2024-01,56118525.3,29762332.14,26356193.16,20773310.94,7261575.78,8844236.6,4667498.56,5582882.22,1228234.09,4354648.13,4244879.27
FIN-2024-02,2024-02-28,2024-02,52405436.15,28046400.46,24359035.69,19295643.34,7614757.08,7352438.55,4328447.71,5063392.35,1113946.32,3949446.03,4426051.27
FIN-2024-03,2024-03-28,2024-03,60175708.87,32702847.29,27472861.580000002,24808159.74,9537156.95,10652859.24,4618143.55,2664701.84,586234.4,2078467.44,2478128.42
FIN-2024-04,2024-04-28,2024-04,55067278.19,30076245.18,24991033.01,21024537.55,7488219.18,9293266.93,4243051.44,3966495.46,872629.0,3093866.46,3801197.99
FIN-2024-05,2024-05-28,2024-05,50082246.17,27183159.22,22899086.95,19655370.12,6560658.9,9309420.69,3785290.53,3243716.83,713617.7,2530099.13,2759258.84
FIN-2024-06,2024-06-28,2024-06,49146076.53,26088000.24,23058076.29,17409603.08,6191922.89,6885032.72,4332647.47,5648473.21,1242664.11,4405809.1,4381629.0
FIN-2024-07,2024-07-28,2024-07,59530763.63,31278437.35,28252326.28,21213571.08,7353321.24,9441747.55,4418502.29,7038755.2,1548526.14,5490229.06,5183121.71
FIN-2024-08,2024-08-28,2024-08,59387437.339999996,32080570.25,27306867.09,22604280.34,7510677.04,10026380.58,5067222.72,4702586.75,1034569.08,3668017.67,3323704.07
FIN-2024-09,2024-09-28,2024-09,62966112.99,33311905.18,29654207.81,24421610.43,8445771.62,11502321.49,4473517.32,5232597.38,1151171.42,4081425.96,4719867.55
FIN-2024-10,2024-10-28,2024-10,61270573.55,32179698.43,29090875.12,25787805.8,9746009.89,10414802.09,5626993.82,3303069.32,726675.25,2576394.07,3159580.24
FIN-2024-11,2024-11-28,2024-11,82849750.82,36811457.97,37166359.246,31313598.85,11237573.5,13539041.31,6536984.04,5852760.4,1287607.29,4565153.11,4190969.95
FIN-2024-12,2024-12-28,2024-12,48192191.15,26011689.1,22180502.05,17907390.11,6484878.93,7200043.2,4222467.98,4273111.94,940084.63,3333027.31,3868419.27
FIN-2025-01,2025-01-28,2025-01,66667961.17,35937929.39,30730031.78,25358489.4,10056982.49,9722224.86,5579282.05,5371542.38,1181739.32,4189803.06,3780464.73
FIN-2025-02,2025-02-28,2025-02,53520988.07,28783522.13,24737465.94,23396340.01,8464501.78,9985912.22,4945926.01,1341125.93,295047.7,1046078.23,997548.69
FIN-2025-03,2025-03-28,2025-03,54801473.95,29636131.17,25165342.78,19996349.78,7089346.62,8583145.81,4323857.35,5168993.0,1137178.46,4031814.54,4831893.09
FIN-2025-04,2025-04-28,2025-04,69041118.84,36554162.06,32486956.78,26627352.61,9420675.79,11412590.15,5794086.67,5859604.17,1289112.92,4570491.25,4720944.09
FIN-2025-05,2025-05-28,2025-05,65463655.16,34417907.99,31045747.17,26970629.03,8675664.19,12356388.49,5938576.35,4075118.14,896525.99,3178592.15,3835553.69
FIN-2025-06,2025-06-28,2025-06,58026215.43,30832046.85,27194168.58,22910573.69,9099439.82,8936003.31,4875130.56,4283594.89,942390.88,3341204.01,3690221.67
FIN-2025-07,2025-07-28,2025-07,52127706.53,27759337.7,24368368.830000002,20809996.25,8311910.7,8075683.35,4422402.2,3558372.58,782841.97,2775530.61,2548610.63
FIN-2025-08,2025-08-28,2025-08,52806960.76,29059359.84,23747600.92,19480572.21,7194780.99,8133627.51,4152163.71,4267028.71,938746.32,3328282.39,3052433.34
FIN-2025-09,2025-09-28,2025-09,55025951.26,29953406.330000002,25072544.93,20643361.02,7433850.34,9281229.66,3928281.02,4429183.91,974420.46,3454763.45,3729494.42
FIN-2025-10,2025-10-28,2025-10,64089666.53,34557715.02,29531951.51,23908555.9,9318026.72,9972459.21,4618069.97,5623395.61,1237147.03,4386248.58,4160153.56
FIN-2025-11,2025-11-28,2025-11,50458122.72,27008311.91,23449810.81,19544756.01,6353533.25,9300061.21,3891161.55,3905054.8,859112.06,3045942.74,3317696.8
FIN-2025-12,2025-12-28,2025-12,52864141.47,28863102.95,24001038.52,20365701.95,7791386.36,8544661.57,4029654.02,3635336.57,799774.05,2835562.52,3082555.35
