campaign_id,campaign_date,month,channel,campaign_cost,impressions,clicks,leads,conversions,customers_acquired,revenue_generated,cac,roi_pct
MKT-2023-01-GOO,2023-01-01,2023-01,Google Search Ads,194274.47,6388827,296700,46865,6450,4765,463470334.37,40.77,238464.7
MKT-2023-01-LIN,2023-01-01,2023-01,LinkedIn B2B,248865.37,6763176,426155,34992,6322,4255,373724286.58,58.49,150071.3
MKT-2023-01-DIR,2023-01-01,2023-01,Direct Outreach,102576.81,3182160,87632,7441,1143,671,73808247.41,152.87,71854.1
MKT-2023-01-TEC,2023-01-01,2023-01,Tech Webinars,149935.34,3706993,199113,21707,3165,1680,152133138.38,89.25,101365.8
MKT-2023-01-PAR,2023-01-01,2023-01,Partner Referral,184778.63,4107252,104922,17264,4157,2428,227141771.91,76.1,122826.4
MKT-2023-01-IND,2023-01-01,2023-01,Industry Events,402455.4,7533501,273643,22554,4985,3194,248009157.19,126.0,61524.0
MKT-2023-02-GOO,2023-02-01,2023-02,Google Search Ads,238042.99,7574749,303855,36485,9155,6470,684574173.18,36.79,287484.3
MKT-2023-02-LIN,2023-02-01,2023-02,LinkedIn B2B,243048.59,6459420,343250,52607,6482,4277,405963133.03,56.83,166929.6
MKT-2023-02-DIR,2023-02-01,2023-02,Direct Outreach,126020.55,2473085,120013,14295,3617,2534,261463795.56,49.73,207377.1
MKT-2023-02-TEC,2023-02-01,2023-02,Tech Webinars,129037.73,3953615,146624,18458,2509,1854,178152417.69,69.6,137962.3
MKT-2023-02-PAR,2023-02-01,2023-02,Partner Referral,172609.07,4367369,148010,17854,2938,1467,147283721.84,117.66,85227.9
MKT-2023-02-IND,2023-02-01,2023-02,Industry Events,363159.9,8897759,575917,87974,23949,15972,1609908552.15,22.74,443205.7
MKT-2023-03-GOO,2023-03-01,2023-03,Google Search Ads,185563.47,5163108,134218,21088,4039,2289,183587522.19,81.07,98835.2
MKT-2023-03-LIN,2023-03-01,2023-03,LinkedIn B2B,233818.54,4780212,239950,21202,4446,2101,228023991.3,111.29,97421.8
MKT-2023-03-DIR,2023-03-01,2023-03,Direct Outreach,97862.74,1901092,78187,12807,2609,1810,185271191.63,54.07,189217.4
MKT-2023-03-TEC,2023-03-01,2023-03,Tech Webinars,96093.05,2535713,105167,16201,4106,1694,169274505.81,56.73,176056.9
MKT-2023-03-PAR,2023-03-01,2023-03,Partner Referral,163423.81,5362633,191584,19335,4060,2318,216718456.53,70.5,132511.3
MKT-2023-03-IND,2023-03-01,2023-03,Industry Events,370137.03,8145816,353975,45414,9481,6246,633496532.26,59.26,171051.9
