fulfillment_id,order_id,order_date,ship_date,delivery_date,warehouse_id,carrier,region_id,delivery_time_days,sla_target_days,sla_status,shipping_cost,inventory_turnover,defect_rate_pct
FUL-000885,ORD-000885,2023-01-01,2023-01-03,2023-01-07,WH-REG-01,BlueDart Logistics,REG-01,6.2,5,Breached,3599.99,6.2,0.18
FUL-000892,ORD-000892,2023-01-01,2023-01-02,2023-01-03,WH-REG-02,Ecom Express,REG-02,2.3,5,Compliant,1561.86,9.7,0.03
FUL-001923,ORD-001923,2023-01-01,2023-01-02,2023-01-05,WH-REG-05,DHL Freight,REG-05,4.4,5,Compliant,4140.61,10.0,0.48
FUL-002735,ORD-002735,2023-01-01,2023-01-02,2023-01-05,WH-REG-01,FedEx Supply,REG-01,4.7,5,Compliant,4118.59,11.5,1.33
FUL-006388,ORD-006388,2023-01-01,2023-01-02,2023-01-03,WH-REG-01,DHL Freight,REG-01,2.0,5,Compliant,2497.3,8.7,0.19
FUL-006826,ORD-006826,2023-01-01,2023-01-02,2023-01-02,WH-REG-04,Delhivery Express,REG-04,1.4,5,Compliant,2188.78,10.0,1.75
FUL-007182,ORD-007182,2023-01-01,2023-01-02,2023-01-05,WH-REG-01,BlueDart Logistics,REG-01,4.7,5,Compliant,2093.87,11.1,0.62
FUL-007259,ORD-007259,2023-01-01,2023-01-03,2023-01-06,WH-REG-02,Ecom Express,REG-02,5.2,5,Breached,4479.72,6.3,0.09
FUL-008254,ORD-008254,2023-01-01,2023-01-03,2023-01-07,WH-REG-02,FedEx Supply,REG-02,6.7,3,Breached,4382.87,8.1,0.81
FUL-000252,ORD-000252,2023-01-02,2023-01-03,2023-01-04,WH-REG-02,DHL Freight,REG-02,2.9,5,Compliant,3266.55,10.7,0.35
FUL-001333,ORD-001333,2023-01-02,2023-01-04,2023-01-08,WH-REG-03,FedEx Supply,REG-03,6.3,5,Breached,3122.37,10.3,0.81
FUL-002420,ORD-002420,2023-01-02,2023-01-03,2023-01-03,WH-REG-02,BlueDart Logistics,REG-02,1.6,5,Compliant,4348.79,8.4,1.1
