order_id,order_date,month,customer_id,product_id,sales_rep_id,region_id,channel,quantity,unit_price,discount,revenue,cost,profit,sales_target,status
ORD-HG-10000,2023-01-01,2023-01,CUST-1172,PROD-124,EMP-1016,REG-04,Retail Store,14,6865.62,0.0,96118.68,43233.09,52885.59,88429.19,Completed
ORD-HG-10001,2023-01-01,2023-01,CUST-1212,PROD-121,EMP-1017,REG-04,Field Sales,19,34121.42,0.0,648306.98,322501.55,325805.43,596442.42,Completed
ORD-HG-10002,2023-01-01,2023-01,CUST-1359,PROD-106,EMP-1017,REG-03,Retail Store,16,17174.69,0.03,266551.19,131258.0,135293.19,245227.09,Completed
ORD-HG-10003,2023-01-01,2023-01,CUST-1005,PROD-109,EMP-1048,REG-05,Enterprise Partner,34,25506.29,0.0,867213.86,454620.33,412593.53,797836.75,Completed
ORD-HG-10004,2023-01-02,2023-01,CUST-1395,PROD-123,EMP-1035,REG-05,Retail Store,6,24270.43,0.03,141253.9,63199.76,78054.14,129953.59,Completed
ORD-HG-10005,2023-01-02,2023-01,CUST-1105,PROD-105,EMP-1017,REG-04,Retail Store,30,8824.14,0.03,256782.47,117638.9,139143.57,236239.87,Completed
ORD-HG-10006,2023-01-02,2023-01,CUST-1473,PROD-122,EMP-1006,REG-05,Enterprise Partner,29,8462.17,0.03,238040.84,98704.93,139335.91,218997.57,Completed
ORD-HG-10007,2023-01-02,2023-01,CUST-1109,PROD-123,EMP-1038,REG-03,Enterprise Partner,25,24006.1,0.05,570144.88,297250.02,272894.86,524533.29,Completed
ORD-HG-10008,2023-01-02,2023-01,CUST-1067,PROD-106,EMP-1020,REG-03,Field Sales,13,25175.2,0.01,324004.82,165318.18,158686.64,298084.43,Completed
ORD-HG-10009,2023-01-02,2023-01,CUST-1273,PROD-114,EMP-1004,REG-02,Enterprise Partner,39,39949.93,0.02,1526886.32,793127.29,733759.03,1404735.41,Completed
ORD-HG-10010,2023-01-02,2023-01,CUST-1439,PROD-109,EMP-1027,REG-05,Retail Store,24,29235.13,0.03,680593.83,371908.88,308684.95,626146.32,Completed
ORD-HG-10011,2023-01-02,2023-01,CUST-1102,PROD-110,EMP-1037,REG-03,Enterprise Partner,39,21381.29,0.04,800515.5,406430.6,394084.9,736474.26,Completed
ORD-HG-10012,2023-01-03,2023-01,CUST-1354,PROD-123,EMP-1036,REG-04,Enterprise Partner,40,36704.8,0.04,1409464.32,656337.02,753127.3,1296707.17,Completed
ORD-HG-10013,2023-01-03,2023-01,CUST-1162,PROD-118,EMP-1035,REG-05,Field Sales,5,26652.95,0.04,127934.16,53124.62,74809.54,117699.43,Completed
ORD-HG-10014,2023-01-03,2023-01,CUST-1185,PROD-119,EMP-1030,REG-04,Direct Online,42,29342.93,0.0,1232403.06,547931.6,684471.46,1133810.82,Completed
ORD-HG-10015,2023-01-03,2023-01,CUST-1287,PROD-114,EMP-1005,REG-03,Enterprise Partner,42,17067.48,0.03,695329.14,372350.01,322979.13,639702.81,Completed
ORD-HG-10016,2023-01-03,2023-01,CUST-1349,PROD-121,EMP-1038,REG-02,Field Sales,11,38895.31,0.02,419291.44,217614.23,201677.21,385748.12,Completed
ORD-HG-10017,2023-01-03,2023-01,CUST-1393,PROD-123,EMP-1005,REG-01,Retail Store,43,24889.57,0.04,1027441.45,437632.45,589809.0,945246.13,Completed
ORD-HG-10018,2023-01-03,2023-01,CUST-1134,PROD-112,EMP-1034,REG-03,Field Sales,32,10434.51,0.0,333904.32,161930.27,171974.05,307191.97,Completed
ORD-HG-10019,2023-01-04,2023-01,CUST-1475,PROD-107,EMP-1005,REG-01,Direct Online,33,40561.04,0.03,1298358.89,684531.14,613827.75,1194490.18,Completed
ORD-HG-10020,2023-01-04,2023-01,CUST-1165,PROD-114,EMP-1047,REG-04,Retail Store,35,38758.75,0.02,1329425.12,544207.51,785217.61,1223071.11,Completed
ORD-HG-10021,2023-01-04,2023-01,CUST-1329,PROD-102,EMP-1014,REG-03,Enterprise Partner,42,43149.81,0.04,1739800.34,806860.1,932940.24,1600616.31,Completed
