order_id,order_date,month,customer_id,product_id,sales_rep_id,region_id,channel,quantity,unit_price,discount,revenue,cost,profit,sales_target,status
ORD-SLUMP-10000,2023-01-01,2023-01,CUST-1009,PROD-109,EMP-1005,REG-05,Enterprise Partner,1,3974.85,0.3,2782.4,2448.51,333.89,3756.24,Completed
ORD-SLUMP-10001,2023-01-01,2023-01,CUST-1233,PROD-109,EMP-1018,REG-01,Enterprise Partner,1,1657.95,0.36,1061.09,933.76,127.33,1432.47,Completed
ORD-SLUMP-10002,2023-01-01,2023-01,CUST-1230,PROD-103,EMP-1019,REG-04,Field Sales,1,2242.15,0.24,1704.03,1499.55,204.48,2300.44,Completed
ORD-SLUMP-10003,2023-01-01,2023-01,CUST-1033,PROD-117,EMP-1023,REG-02,Retail Store,3,4456.3,0.32,9090.85,7999.95,1090.9,12272.65,Completed
ORD-SLUMP-10004,2023-01-01,2023-01,CUST-1100,PROD-114,EMP-1022,REG-02,Field Sales,1,1026.01,0.29,728.47,641.05,87.42,983.43,Completed
ORD-SLUMP-10005,2023-01-02,2023-01,CUST-1231,PROD-118,EMP-1005,REG-05,Field Sales,3,933.42,0.25,2100.19,1848.17,252.02,2835.26,Completed
ORD-SLUMP-10006,2023-01-02,2023-01,CUST-1039,PROD-117,EMP-1014,REG-02,Enterprise Partner,2,1712.55,0.36,2192.06,1929.01,263.05,2959.28,Completed
ORD-SLUMP-10007,2023-01-02,2023-01,CUST-1035,PROD-113,EMP-1028,REG-05,Direct Online,1,3916.15,0.2,3132.92,2756.97,375.95,4229.44,Completed
ORD-SLUMP-10008,2023-01-02,2023-01,CUST-1046,PROD-115,EMP-1011,REG-03,Direct Online,4,3806.77,0.31,10506.69,9245.89,1260.8,14184.03,Completed
ORD-SLUMP-10009,2023-01-02,2023-01,CUST-1226,PROD-106,EMP-1007,REG-04,Direct Online,2,4227.88,0.32,5749.92,5059.93,689.99,7762.39,Completed
ORD-SLUMP-10010,2023-01-03,2023-01,CUST-1149,PROD-101,EMP-1027,REG-01,Field Sales,1,2863.2,0.3,2004.24,1763.73,240.51,2705.72,Completed
ORD-SLUMP-10011,2023-01-03,2023-01,CUST-1071,PROD-119,EMP-1004,REG-05,Enterprise Partner,3,3486.25,0.28,7530.3,6626.66,903.64,10165.91,Completed
ORD-SLUMP-10012,2023-01-03,2023-01,CUST-1040,PROD-115,EMP-1006,REG-04,Field Sales,3,3594.95,0.27,7872.94,6928.19,944.75,10628.47,Completed
ORD-SLUMP-10013,2023-01-03,2023-01,CUST-1277,PROD-103,EMP-1020,REG-03,Field Sales,1,3110.87,0.37,1959.85,1724.67,235.18,2645.8,Completed
ORD-SLUMP-10014,2023-01-04,2023-01,CUST-1051,PROD-110,EMP-1014,REG-03,Direct Online,7,3909.11,0.34,18060.09,15892.88,2167.21,24381.12,Completed
ORD-SLUMP-10015,2023-01-04,2023-01,CUST-1122,PROD-108,EMP-1025,REG-05,Field Sales,7,2210.07,0.22,12066.98,10618.94,1448.04,16290.42,Completed
ORD-SLUMP-10016,2023-01-04,2023-01,CUST-1177,PROD-105,EMP-1010,REG-02,Field Sales,1,1677.24,0.33,1123.75,988.9,134.85,1517.06,Completed
ORD-SLUMP-10017,2023-01-04,2023-01,CUST-1093,PROD-110,EMP-1027,REG-04,Direct Online,4,1038.88,0.35,2701.09,2376.96,324.13,3646.47,Completed
ORD-SLUMP-10018,2023-01-04,2023-01,CUST-1274,PROD-116,EMP-1009,REG-05,Enterprise Partner,3,996.82,0.4,1794.28,1578.97,215.31,2422.28,Completed
ORD-SLUMP-10019,2023-01-05,2023-01,CUST-1236,PROD-119,EMP-1006,REG-04,Field Sales,3,2522.73,0.3,5297.73,4662.0,635.73,7151.94,Completed
ORD-SLUMP-10020,2023-01-05,2023-01,CUST-1018,PROD-110,EMP-1007,REG-05,Retail Store,4,2393.6,0.29,6797.82,5982.08,815.74,9177.06,Completed
ORD-SLUMP-10021,2023-01-05,2023-01,CUST-1211,PROD-111,EMP-1015,REG-01,Retail Store,3,4249.85,0.22,9944.65,8751.29,1193.36,13425.28,Completed
ORD-SLUMP-10022,2023-01-05,2023-01,CUST-1243,PROD-103,EMP-1024,REG-04,Retail Store,2,1498.81,0.33,2008.41,1767.4,241.01,2711.35,Completed
ORD-SLUMP-10023,2023-01-05,2023-01,CUST-1012,PROD-114,EMP-1010,REG-03,Retail Store,6,2993.5,0.22,14009.58,12328.43,1681.15,18912.93,Completed
ORD-SLUMP-10024,2023-01-05,2023-01,CUST-1243,PROD-107,EMP-1002,REG-01,Direct Online,3,4469.31,0.32,9117.39,8023.3,1094.09,12308.48,Completed
ORD-SLUMP-10025,2023-01-05,2023-01,CUST-1224,PROD-109,EMP-1026,REG-04,Field Sales,1,1716.9,0.38,1064.48,936.74,127.74,1437.05,Completed
ORD-SLUMP-10026,2023-01-06,2023-01,CUST-1292,PROD-108,EMP-1023,REG-05,Direct Online,6,4458.94,0.21,21135.38,18599.13,2536.25,28532.76,Completed
ORD-SLUMP-10027,2023-01-06,2023-01,CUST-1120,PROD-101,EMP-1029,REG-05,Field Sales,4,2520.64,0.26,7461.09,6565.76,895.33,10072.47,Completed
ORD-SLUMP-10028,2023-01-06,2023-01,CUST-1290,PROD-102,EMP-1002,REG-01,Direct Online,7,2931.58,0.23,15801.22,13905.07,1896.15,21331.65,Completed
ORD-SLUMP-10029,2023-01-06,2023-01,CUST-1241,PROD-106,EMP-1002,REG-05,Enterprise Partner,3,1738.58,0.38,3233.76,2845.71,388.05,4365.58,Completed
ORD-SLUMP-10030,2023-01-06,2023-01,CUST-1043,PROD-113,EMP-1008,REG-05,Field Sales,2,1766.81,0.36,2261.52,1990.14,271.38,3053.05,Completed
ORD-SLUMP-10031,2023-01-07,2023-01,CUST-1156,PROD-118,EMP-1024,REG-02,Field Sales,1,1643.07,0.23,1265.16,1113.34,151.82,1707.97,Completed
ORD-SLUMP-10032,2023-01-07,2023-01,CUST-1270,PROD-119,EMP-1012,REG-05,Retail Store,5,3527.28,0.32,11992.75,10553.62,1439.13,16190.21,Completed
ORD-SLUMP-10033,2023-01-08,2023-01,CUST-1243,PROD-102,EMP-1013,REG-05,Retail Store,2,3662.06,0.26,5419.85,4769.47,650.38,7316.8,Completed
ORD-SLUMP-10034,2023-01-08,2023-01,CUST-1284,PROD-116,EMP-1027,REG-05,Retail Store,5,4333.82,0.24,16468.52,14492.3,1976.22,22232.5,Completed
ORD-SLUMP-10035,2023-01-08,2023-01,CUST-1068,PROD-101,EMP-1010,REG-02,Direct Online,3,2912.3,0.4,5242.14,4613.08,629.06,7076.89,Completed
ORD-SLUMP-10036,2023-01-08,2023-01,CUST-1282,PROD-111,EMP-1028,REG-04,Direct Online,6,1753.93,0.39,6419.38,5649.05,770.33,8666.16,Completed
ORD-SLUMP-10037,2023-01-08,2023-01,CUST-1186,PROD-116,EMP-1018,REG-03,Retail Store,1,3295.59,0.29,2339.87,2059.09,280.78,3158.82,Completed
ORD-SLUMP-10038,2023-01-08,2023-01,CUST-1133,PROD-118,EMP-1019,REG-05,Retail Store,2,3408.71,0.27,4976.72,4379.51,597.21,6718.57,Completed
ORD-SLUMP-10039,2023-01-09,2023-01,CUST-1101,PROD-104,EMP-1027,REG-01,Retail Store,6,3802.65,0.32,15514.81,13653.03,1861.78,20944.99,Completed
ORD-SLUMP-10040,2023-01-09,2023-01,CUST-1072,PROD-101,EMP-1020,REG-05,Direct Online,5,2933.76,0.39,8947.97,7874.21,1073.76,12079.76,Completed
ORD-SLUMP-10041,2023-01-09,2023-01,CUST-1163,PROD-101,EMP-1007,REG-04,Retail Store,6,2443.84,0.33,9824.24,8645.33,1178.91,13262.72,Completed
ORD-SLUMP-10042,2023-01-09,2023-01,CUST-1142,PROD-107,EMP-1025,REG-01,Direct Online,2,3394.28,0.24,5159.31,4540.19,619.12,6965.07,Completed
ORD-SLUMP-10043,2023-01-10,2023-01,CUST-1226,PROD-112,EMP-1012,REG-02,Retail Store,2,3408.69,0.37,4294.95,3779.56,515.39,5798.18,Completed
