campaign_id,campaign_date,month,channel,campaign_cost,impressions,clicks,leads,conversions,customers_acquired,revenue_generated,cac,roi_pct
MKT-BOOST-000,2023-01-07,2023-01,Tech Webinars,712229.59,26582492,1805769,261205,52720,34268,4685358341.56,20.78,657743.8
MKT-BOOST-001,2023-01-11,2023-01,Tech Webinars,767062.83,28629029,1944792,281315,56779,36906,5046043975.53,20.78,657739.7
MKT-BOOST-002,2023-01-25,2023-01,Industry Events,573039.53,21387512,1452870,210158,42417,27571,3769698110.05,20.78,657742.6
MKT-BOOST-003,2023-01-30,2023-01,Google Search Ads,732367.15,27334085,1856825,268591,54211,35237,4817846734.02,20.78,657745.8
MKT-BOOST-004,2023-01-31,2023-01,Industry Events,854160.1,31879754,2165616,313257,63226,41096,5618929800.53,20.78,657731.0
MKT-BOOST-005,2023-02-05,2023-02,Tech Webinars,663313.94,24756817,1681749,243266,49100,31915,4363639881.84,20.78,657754.4
MKT-BOOST-006,2023-02-15,2023-02,Partner Referral,715284.41,26696507,1813514,262326,52947,34415,4705457199.86,20.78,657744.2
MKT-BOOST-007,2023-02-22,2023-02,Tech Webinars,828021.08,30904169,2099344,303671,61292,39839,5447064053.03,20.78,657741.2
MKT-BOOST-008,2023-02-24,2023-02,Direct Outreach,419884.26,15671309,1064564,153989,31080,20202,2762157383.45,20.78,657737.8
MKT-BOOST-009,2023-02-27,2023-02,Industry Events,858838.29,32054358,2177477,314973,63573,41322,5649830086.08,20.78,657745.6
MKT-BOOST-010,2023-03-06,2023-03,Tech Webinars,404823.11,15109183,1026378,148466,29965,19477,2663030361.23,20.78,657725.7
MKT-BOOST-011,2023-03-06,2023-03,Industry Events,916938.04,34222810,2324782,336281,67873,44117,6031981847.63,20.78,657739.6
MKT-BOOST-012,2023-03-15,2023-03,Partner Referral,821392.89,30656786,2082539,301240,60801,39520,5403448163.25,20.78,657739.7
MKT-BOOST-013,2023-03-18,2023-03,Partner Referral,450266.45,16805261,1141594,165132,33329,21663,2961915424.1,20.79,657713.9
MKT-BOOST-014,2023-04-02,2023-04,Partner Referral,391922.85,14627707,993671,143735,29011,18857,2578259666.36,20.78,657748.8
MKT-BOOST-015,2023-04-03,2023-04,Partner Referral,561230.55,20946766,1422930,205827,41543,27002,3691900488.47,20.78,657722.4
MKT-BOOST-016,2023-04-27,2023-04,Direct Outreach,522633.09,19506196,1325071,191672,38686,25145,3437998584.64,20.78,657722.6
MKT-BOOST-017,2023-05-01,2023-05,Industry Events,747237.93,27889106,1894528,274044,55312,35952,4915606486.98,20.78,657736.9
MKT-BOOST-018,2023-05-03,2023-05,LinkedIn B2B,810356.1,30244860,2054556,297192,59984,38989,5330846164.91,20.78,657740.0
MKT-BOOST-019,2023-05-06,2023-05,Tech Webinars,598608.09,22341805,1517696,219535,44310,28801,3937872230.51,20.78,657738.1
MKT-BOOST-020,2023-05-12,2023-05,Direct Outreach,411055.08,15341778,1042178,150751,30427,19777,2704048439.39,20.78,657731.2
MKT-BOOST-021,2023-05-18,2023-05,Direct Outreach,457676.11,17081811,1160380,167849,33878,22020,3010726937.12,20.78,657729.2
MKT-BOOST-022,2023-05-22,2023-05,Google Search Ads,816575.94,30477003,2070326,299474,60444,39288,5371727516.14,20.78,657735.6
MKT-BOOST-023,2023-05-25,2023-05,Google Search Ads,575874.97,21493338,1460059,211198,42627,27707,3788292972.15,20.78,657732.5
MKT-BOOST-024,2023-05-28,2023-05,Google Search Ads,825617.48,30814460,2093250,302790,61114,39724,5431340456.41,20.78,657751.9
MKT-BOOST-025,2023-06-11,2023-06,Google Search Ads,271102.12,10118324,687345,99424,20067,13043,1783329311.57,20.79,657707.2
MKT-BOOST-026,2023-06-14,2023-06,Industry Events,295151.29,11015909,748319,108244,21847,14200,1941522366.35,20.79,657705.8
MKT-BOOST-027,2023-06-18,2023-06,Direct Outreach,697079.19,26017035,1767357,255649,51599,33539,4585684411.62,20.78,657742.7
MKT-BOOST-028,2023-06-25,2023-06,Partner Referral,692536.61,25847492,1755840,253983,51263,33320,4555741214.57,20.78,657734.0
MKT-BOOST-029,2023-06-26,2023-06,Direct Outreach,424936.03,15859856,1077372,155842,31454,20445,2795382026.76,20.78,657736.0
MKT-BOOST-030,2023-07-09,2023-07,Direct Outreach,515183.72,19228163,1306184,188940,38135,24787,3389050344.7,20.78,657733.4
MKT-BOOST-031,2023-07-11,2023-07,Tech Webinars,861228.65,32143573,2183538,315850,63750,41437,5665553682.71,20.78,657745.5
MKT-BOOST-032,2023-07-15,2023-07,Partner Referral,592108.37,22099216,1501217,217152,43829,28488,3895076702.3,20.78,657731.7
MKT-BOOST-033,2023-07-19,2023-07,Partner Referral,371556.76,13867585,942035,136266,27503,17876,2444130550.77,20.79,657708.1
MKT-BOOST-034,2023-07-21,2023-07,Google Search Ads,453628.33,16930736,1150118,166365,33578,21825,2984065186.31,20.78,657721.6
MKT-BOOST-035,2023-07-26,2023-07,Partner Referral,894512.57,33385826,2267925,328056,66213,43038,5884453493.17,20.78,657739.1
MKT-BOOST-036,2023-07-28,2023-07,Partner Referral,927984.96,34635114,2352790,340332,68691,44649,6104720572.9,20.78,657746.9
MKT-BOOST-037,2023-07-29,2023-07,Google Search Ads,494530.87,18457339,1253821,181366,36606,23793,3253143779.06,20.78,657724.2
MKT-BOOST-038,2023-08-02,2023-08,Tech Webinars,528333.85,19718965,1339524,193763,39108,25420,3475598489.62,20.78,657741.3
