fulfillment_id,order_id,fulfillment_date,month,region_id,processing_time,fulfillment_time,delivery_time,delivery_time_days,sla_actual,sla_target,sla_target_days,sla_met,shipping_cost,inventory_level,inventory_turnover
FUL-DISR-000000,ORD-HG-10000,2023-01-01,2023-01,REG-01,2.6,3.7,6.1,6.1,6.1,3.0,3.0,0,1609.25,604,4.08
FUL-DISR-000001,ORD-HG-10001,2023-01-01,2023-01,REG-01,4.0,4.7,7.6,7.6,7.6,3.0,3.0,0,1433.0,544,5.31
FUL-DISR-000002,ORD-HG-10002,2023-01-01,2023-01,REG-03,2.8,3.3,9.1,9.1,9.1,3.0,3.0,0,862.58,288,4.58
FUL-DISR-000003,ORD-HG-10003,2023-01-01,2023-01,REG-02,4.5,3.2,8.3,8.3,8.3,3.0,3.0,0,972.77,739,3.76
FUL-DISR-000004,ORD-HG-10004,2023-01-01,2023-01,REG-05,2.5,4.3,9.2,9.2,9.2,3.0,3.0,0,877.47,541,3.18
FUL-DISR-000005,ORD-HG-10005,2023-01-01,2023-01,REG-04,4.3,5.2,7.0,7.0,7.0,3.0,3.0,0,1129.98,285,4.65
FUL-DISR-000006,ORD-HG-10006,2023-01-01,2023-01,REG-05,2.8,4.0,4.5,4.5,4.5,3.0,3.0,0,1423.39,390,4.02
FUL-DISR-000007,ORD-HG-10007,2023-01-02,2023-01,REG-02,2.2,4.0,9.4,9.4,9.4,3.0,3.0,0,1655.38,487,4.21
FUL-DISR-000008,ORD-HG-10008,2023-01-02,2023-01,REG-04,3.0,5.0,7.0,7.0,7.0,3.0,3.0,0,1508.97,614,4.3
FUL-DISR-000009,ORD-HG-10009,2023-01-02,2023-01,REG-04,2.4,4.8,8.7,8.7,8.7,3.0,3.0,0,1384.36,263,4.17
FUL-DISR-000010,ORD-HG-10010,2023-01-02,2023-01,REG-01,3.3,4.7,7.0,7.0,7.0,3.0,3.0,0,848.0,374,4.85
FUL-DISR-000011,ORD-HG-10011,2023-01-02,2023-01,REG-01,4.0,4.3,8.3,8.3,8.3,3.0,3.0,0,1148.11,422,4.53
FUL-DISR-000012,ORD-HG-10012,2023-01-02,2023-01,REG-03,4.2,4.8,5.4,5.4,5.4,3.0,3.0,0,765.25,585,3.56
