log_id,employee_id,employee_name,department,region_id,productivity_score,performance_score,training_hours,satisfaction_score,overtime_hours,attrition_status
HR-BOOST-0000,EMP-1001,High Performer 1,Marketing,REG-01,92.7,92.2,50.2,4.62,0.4,No
HR-BOOST-0001,EMP-1002,High Performer 2,Finance,REG-01,97.8,97.6,56.7,4.97,4.4,No
HR-BOOST-0002,EMP-1003,High Performer 3,Finance,REG-04,93.5,92.4,50.2,4.73,6.2,No
HR-BOOST-0003,EMP-1004,High Performer 4,Sales,REG-05,92.1,92.0,56.1,4.8,5.5,No
HR-BOOST-0004,EMP-1005,High Performer 5,Operations,REG-01,92.1,90.3,52.1,4.52,8.2,No
HR-BOOST-0005,EMP-1006,High Performer 6,Finance,REG-05,90.2,89.6,41.6,4.91,6.6,No
HR-BOOST-0006,EMP-1007,High Performer 7,Customer Support,REG-02,92.4,92.4,29.1,4.86,0.1,No
HR-BOOST-0007,EMP-1008,High Performer 8,Engineering,REG-01,91.5,89.8,38.3,4.53,7.2,No
HR-BOOST-0008,EMP-1009,High Performer 9,Marketing,REG-04,90.7,89.0,59.8,5.0,4.5,No
HR-BOOST-0009,EMP-1010,High Performer 10,Marketing,REG-02,96.7,95.9,56.4,4.66,0.1,No
HR-BOOST-0010,EMP-1011,High Performer 11,Customer Support,REG-03,98.1,97.3,34.6,4.75,1.3,No
HR-BOOST-0011,EMP-1012,High Performer 12,Engineering,REG-01,97.2,95.5,53.3,4.73,3.6,No
HR-BOOST-0012,EMP-1013,High Performer 13,Finance,REG-02,97.7,96.8,35.7,4.96,3.6,No
HR-BOOST-0013,EMP-1014,High Performer 14,Sales,REG-05,97.9,96.4,55.4,4.91,7.0,No
HR-BOOST-0014,EMP-1015,High Performer 15,Sales,REG-01,91.7,90.4,57.6,4.92,7.2,No
HR-BOOST-0015,EMP-1016,High Performer 16,Customer Support,REG-03,97.2,97.1,30.9,4.61,7.4,No
HR-BOOST-0016,EMP-1017,High Performer 17,Sales,REG-03,90.7,89.1,25.9,4.9,0.9,No
HR-BOOST-0017,EMP-1018,High Performer 18,Customer Support,REG-03,91.6,90.7,53.5,4.67,8.2,No
HR-BOOST-0018,EMP-1019,High Performer 19,Operations,REG-01,96.9,96.4,48.1,4.85,5.7,No
HR-BOOST-0019,EMP-1020,High Performer 20,Finance,REG-03,97.9,97.9,59.0,4.87,1.7,No
HR-BOOST-0020,EMP-1021,High Performer 21,Operations,REG-03,98.8,98.7,49.5,4.92,4.7,No
HR-BOOST-0021,EMP-1022,High Performer 22,Customer Support,REG-05,90.6,89.3,58.6,4.71,8.7,No
HR-BOOST-0022,EMP-1023,High Performer 23,Operations,REG-03,97.7,96.2,54.8,4.82,9.8,No
HR-BOOST-0023,EMP-1024,High Performer 24,Engineering,REG-03,98.2,97.7,40.9,4.93,7.9,No
HR-BOOST-0024,EMP-1025,High Performer 25,Engineering,REG-04,93.2,92.8,53.3,4.6,3.8,No
HR-BOOST-0025,EMP-1026,High Performer 26,Operations,REG-04,91.8,90.5,44.2,4.78,10.0,No
HR-BOOST-0026,EMP-1027,High Performer 27,Customer Support,REG-04,91.9,91.3,49.5,4.67,3.2,No
HR-BOOST-0027,EMP-1028,High Performer 28,Operations,REG-05,98.2,98.1,30.8,4.56,5.0,No
HR-BOOST-0028,EMP-1029,High Performer 29,Finance,REG-04,91.9,90.2,47.6,4.57,2.5,No
HR-BOOST-0029,EMP-1030,High Performer 30,Finance,REG-05,94.9,93.1,42.6,4.93,0.9,No
HR-BOOST-0030,EMP-1031,High Performer 31,Finance,REG-03,90.0,90.1,59.4,4.7,0.3,No
HR-BOOST-0031,EMP-1032,High Performer 32,Finance,REG-01,90.0,89.6,25.1,4.76,8.5,No
HR-BOOST-0032,EMP-1033,High Performer 33,Marketing,REG-04,90.7,89.0,32.3,4.86,0.1,No
HR-BOOST-0033,EMP-1034,High Performer 34,Sales,REG-04,92.9,91.7,41.5,4.96,9.8,No
HR-BOOST-0034,EMP-1035,High Performer 35,Engineering,REG-01,97.5,97.5,32.9,4.83,3.4,No
HR-BOOST-0035,EMP-1036,High Performer 36,Engineering,REG-03,98.5,98.2,25.7,4.64,9.8,No
HR-BOOST-0036,EMP-1037,High Performer 37,Customer Support,REG-04,98.6,97.6,45.8,4.79,0.2,No
HR-BOOST-0037,EMP-1038,High Performer 38,Operations,REG-02,90.0,88.4,43.0,4.71,6.2,No
HR-BOOST-0038,EMP-1039,High Performer 39,Finance,REG-01,90.6,90.3,50.1,4.53,0.8,No
HR-BOOST-0039,EMP-1040,High Performer 40,Marketing,REG-02,93.7,92.8,26.6,4.98,1.2,No
HR-BOOST-0040,EMP-1041,High Performer 41,Finance,REG-04,97.0,96.4,27.8,4.8,1.1,No
HR-BOOST-0041,EMP-1042,High Performer 42,Sales,REG-02,93.0,91.4,36.3,4.8,9.5,No
HR-BOOST-0042,EMP-1043,High Performer 43,Marketing,REG-02,97.6,96.7,28.2,4.72,4.1,No
